name,category,district,address,latitude,longitude
가로공원로 지하189,TRASH,서울특별시 강서구,서울특별시 강서구 가로공원로 189,37.5372348361,126.8370390619
강서로 지하54,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 54,37.5319560848,126.8466115921
화곡로 지하 168,TRASH,서울특별시 강서구,서울특별시 강서구 화곡로 168,37.5414336177,126.8404964502
강서로239,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 239,37.5471811455,126.8360008889
강서로242,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 242,37.5473848364,126.8367633744
강서로 지하262,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 262,37.5490001954,126.8364089318
강서로307,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 307,37.5532303968,126.8362275543
강서로349,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 349,37.5568874407,126.8373923879
강서로419,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 419,37.5629853473,126.8392092177
강서로416,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 416,37.5625260963,126.8400615744
강서로442,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 442,37.5647941714,126.840727474
강서로271,TRASH,서울특별시 강서구,서울특별시 강서구 강서로 271,37.5499605952,126.835973411
개화동로27길 9,TRASH,서울특별시 강서구,서울특별시 강서구 개화동로27길 9,37.5643347063,126.8071069198
개화동로19길 5-6,TRASH,서울특별시 강서구,서울특별시 강서구 개화동로19길 5-6,37.5753948558,126.8028505882
개화동로11길 3-7,TRASH,서울특별시 강서구,서울특별시 강서구 개화동로11길 3-7,37.5785256822,126.8004708502
공항대로478,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 478,37.5530153255,126.8598149415
공항대로434,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 434,37.5545432126,126.8551668257
공항대로325,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 325,37.5582980864,126.8439017854
공항대로290,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 290,37.5581136161,126.8397717654
공항대로69,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 69,37.5614829182,126.8155336794
공항대로261,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 261,37.5591532341,126.8365209668
공항대로 지하 33,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 33,37.5614775483,126.8110554076
공항대로 561,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 561,37.5496484035,126.8682801812
공항대로 659,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 659,37.54753795,126.8779652
공항대로 607-5,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 607,37.5474821602,126.8724070229
공항대로 34,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 34,37.5610066226,126.810958242
공항대로 3길 18,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로3길 18,37.5622308905,126.8102812544
공항대로 432,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 432,37.554539885,126.8549515792
공항대로 615,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 615,37.5473371807,126.8733192347
공항대로36-1,TRASH,서울특별시 강서구,서울특별시 강서구 공항대로 36-1,37.5609949765,126.8113379957
양천로66,TRASH,서울특별시 강서구,서울특별시 강서구 양천로 66,37.5730912348,126.8111972287
금낭화로154,TRASH,서울특별시 강서구,서울특별시 강서구 금낭화로 154,37.5791550547,126.8138354256
등촌동231,TRASH,서울특별시 강서구,서울특별시 강서구 등촌로 231,37.5504267414,126.8637245716
등촌로217,TRASH,서울특별시 강서구,서울특별시 강서구 등촌로 217,37.5491824407,126.8633151471
등촌로17,TRASH,서울특별시 강서구,서울특별시 강서구 등촌로 17,37.5315923986,126.8634594857
방화대로34길2,TRASH,서울특별시 강서구,서울특별시 강서구 방화대로34길 2,37.5676944652,126.8168744568
방화동로11,TRASH,서울특별시 강서구,서울특별시 강서구 방화동로 11,37.5625044798,126.8086912327
양천로731,TRASH,서울특별시 강서구,서울특별시 강서구 양천로 731,37.5502517088,126.8773968583
양천로690,TRASH,서울특별시 강서구,서울특별시 강서구 양천로 690,37.55021954,126.8726238
양천로588,TRASH,서울특별시 강서구,서울특별시 강서구 양천로 588,37.5561517799,126.8637345181
양천로583,TRASH,서울특별시 강서구,서울특별시 강서구 양천로 583,37.5571161919,126.8643474197
양천로424,TRASH,서울특별시 강서구,서울특별시 강서구 양천로 424,37.5641753734,126.8480460692
